sensor_index,name,latitude,longitude,pm2.5_atm
196279,Chartwell School,36.63665,-121.80296,3.8
196427,Outside the pain cave,36.973625,-122.035675,2.0
196445,ConcordCourtMarina,36.67211,-121.79088,4.2
198223,Walnut + King,36.973297,-122.03977,2.6
198861,Spruce St,36.9795,-121.91929,3.3
224985,500 Westridge,36.91058,-121.78283,1.6
231181,4575 Paul Sweet,37.018036,-121.98132,0.6
233659,Crocker,36.628696,-121.933205,8.3
237281,13th Street Central,36.62062,-121.91505,5.1
238631,Aguilar Home,36.92286,-121.769875,0.4
249427,Gold Gulch Rd,37.031773,-122.094,1.6
257689,St Andrews Dr,36.964336,-121.88147,2.4
