sensor_index,name,latitude,longitude,pm2.5_atm
73195,Hihn/Azalea,37.074978,-122.07756,0.0
7846,Hillside Ave,36.603,-121.9294,5.2
238583,Holand,36.93943,-121.76765,5.0
73589,HolbrookHouse,37.05646,-122.02592,0.0
11032,Hollister_snnyslp_ln,36.83655,-121.37074,3.5
84249,Huntington Ct,36.981586,-121.870636,4.2
39489,IRR-IRW,37.25159,-122.12254,3.3
36239,Jackson Ave,37.081284,-122.09461,4.5
283540,Javier Gonzalez-Rocha,36.867767,-121.73432,5.4
265801,Javiland,36.926186,-121.7738,5.5
156279,Juniper Court,36.695824,-121.80144,0.0
60165,K&amp;S Lockwood,35.923088,-121.07588,2.8
121663,Kalkar Quarry,36.98214,-122.048676,1.3
209511,Keller Drive,37.13154,-122.109795,2.0
221453,Kings Creek/Blue Ridge Air quality,37.153275,-122.13205,6.4
67323,LV outside,36.996357,-121.874214,5.1
94417,Las Colinas,37.00919,-121.80666,2.4
9750,Las Cumbres,37.208908,-122.06513,2.7
4355,Laurel/California,36.968987,-122.03479,5.1
84331,Light Springs Road,37.006554,-121.83728,0.0
80409,Live Oak Santa Cruz,36.97257,-121.990425,0.0
46465,Lompico Park,37.104336,-122.050674,8.3
82067,Los Altos Drive,36.966465,-121.88861,9.1
18877,"Los Gatos, CA",37.143368,-122.01382,0.3
68515,Lower Beatty,37.204376,-122.077896,0.2
38661,Lower Favre,37.190155,-122.05823,2.9
120967,Lower Valencia Rd,36.97983,-121.891335,1.1
118953,Lupine Dr,37.054375,-122.02428,0.3
116111,Lupine Lane,36.995827,-121.98386,3326.6
68117,Lynwood Place (Outside),36.94366,-121.797195,5.4
268632,López Family,36.956783,-121.76231,6.1
128217,MG,37.058117,-121.9571,0.6
67477,MH outside,36.968086,-122.03695,9.6
77841,MVRR,36.97136,-121.86338,4.6
20573,Madrone Place AQI,37.246506,-122.126465,2.8
93521,Marc's weather station,36.596676,-121.909584,3.9
63111,Marley,37.001842,-122.01962,7.0
151530,McMahon Road Ranch,36.91161,-121.3512,3.0
50745,Meder St,36.97475,-122.06478,4.9
283234,Middle Oak Ridge,37.20112,-122.05525,0.0
5650,Midtown Santa Cruz,36.981,-122.012,6.5
156431,Mill Site Rd,37.058247,-122.019356,4.3
81843,Miss Eddie’s House,36.543636,-121.92493,3.8
56033,Monterey,36.577515,-121.85851,3.9
298499,Monterey Bees,36.5894,-121.91816,5.1
109856,Moongoat,37.0232,-121.9364,5.1
68533,N.H. Hatton Road,36.54794,-121.9143,4.8
77051,Navigator Drive,37.05044,-122.03397,2.6
237037,New Idria,36.417637,-120.67252,0.6
74825,Nobel Gulch Park,36.97698,-121.95003,6.2
196803,Ohlone,36.46592,-121.79565,0.7
102596,Olive Springs Near Quarry,37.058266,-121.92316,3.1
76373,OnTheCliff,36.962433,-122.05608,4.9
84061,Outlook Drive - Carmel,36.56402,-121.900856,3.0
108636,Outside,37.232243,-122.14726,4.1
83017,Outside La Lena St,37.108776,-122.04694,3.2
196427,Outside the pain cave,36.973625,-122.035675,4.9
83259,Outside-Tinkers,37.114655,-122.10561,3.3
99657,Oxford Way,36.954292,-122.038315,0.0
53877,PA-2 Colleen,36.990856,-121.93677,3.9
34125,PG-Lighthouse,36.617977,-121.90805,3.8
73215,Pacific Elementary School,37.011806,-122.19473,0.8
271908,Pajaro 4,36.897957,-121.74808,4.1
272771,Pajaro2,36.90617,-121.74605,5.8
120931,Paradise Park,37.00219,-122.038124,0.2
148013,Pinnacles NP- East Entrance,36.484753,-121.157265,1.2
78433,Pippin,37.04834,-121.96994,4.6
65657,Pleasure Point,36.958485,-121.97253,5.2
127271,Pleasure Point,36.961956,-121.96836,0.0
97265,Post Ranch Sierra Mar South,36.22973,-121.77173,3.1
60829,QUIEN SABE,37.04412,-122.02001,7.7
71793,Quail Hollow Bowl,37.08128,-122.07145,3.8
193989,Rancho Prieta,37.106766,-121.88154,1.4
94633,Rebecca,37.11494,-122.102905,0.0
67379,Roof,36.973373,-121.90826,9.0
204729,Ruthies,36.925156,-121.77223,4.1
85723,Ryder Road,37.075024,-122.041916,3.9
68057,SCT Outside,36.43751,-121.79037,2.1
157139,SCWS,37.005974,-122.07281,2.0
36559,SJGR Salinas,36.75225,-121.62232,4.8
124645,SYM1122P,36.92189,-121.75982,4.9
72597,San Bernabe,36.589924,-121.90349,0.1
66185,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,5.9
195861,Santa Cruz California St,36.966747,-122.034424,5.2
71791,Schiller2,36.970497,-122.05811,5.9
84215,Schulties Rd,37.118244,-121.96298,2.9
19211,SempleAve ,36.967335,-121.88514,4.9
72573,Sensor3,36.82974,-121.64596,5.3
74183,Shear Creek,37.202442,-122.06677,2.8
193987,Shepherds Knoll Road Bldg 2,36.581867,-121.91297,2.8
98167,Skyline Goat Trail,37.179832,-122.02993,1.7
152962,Skyote Mountain,37.092022,-121.997284,4.2
184713,Skyview,37.126644,-121.95656,1.8
84119,Sleeper Gulch,37.20419,-122.10903,0.9
77359,So Salinas 776,36.669666,-121.67687,5.5
19457,Soquel Elementary,36.985897,-121.95652,0.0
113220,Spanish Ranch,37.10412,-121.89996,3.3
20607,Spencer Ct,36.982265,-121.98709,6.9
72333,Spring Street Outside,36.982567,-122.04551,0.0
5488,Spruce @ 16th,36.618027,-121.919815,4.8
198861,Spruce St,36.9795,-121.91929,7.4
75153,Spyglass #16,36.586884,-121.94758,4.7
257689,St Andrews Dr,36.964336,-121.88147,5.6
64711,Stance Ave,36.993504,-121.94746,4.4
82459,Summit Rd.,37.035297,-121.74771,3.5
69259,Summit West - Mountain Charlie,37.133663,-121.99027,3.7
65947,Sunny Cove,36.961082,-121.98862,4.1
85575,Sunrise,37.09469,-122.114235,0.0
250327,Tabor Dr,37.072155,-121.99598,3.9
70011,Teahouse,37.04903,-122.02667,5.5
256291,Terrace Grove,37.104416,-121.950966,4.3
75019,The Cosmic Center,36.816586,-121.73004,5.6
69899,The Dunes Marina,36.66424,-121.80471,4.3
201999,Three Horse Farm,36.95198,-121.45964,2.3
55171,Timber Ridge,37.07026,-121.98965,0.0
60313,Timber Ridge Lane,37.06883,-121.98734,1.5
85101,Trescony Backyard,36.968403,-122.040886,3.9
131819,Upper Dry Creek Rd,36.59029,-121.91659,0.9
165015,Upper Laurel Outside,36.48942,-121.73458,2.0
84123,Upper Pine Hills Drive,36.561016,-121.89387,4.1
103870,Upper Zayante,37.161026,-122.013176,3.0
171975,VVDDC,36.588055,-121.905106,4.6
195856,Valley View Park,36.823673,-121.37095,3.6
67279,Vasquez Trail,36.465576,-121.78044,4.0
82447,Via Ventana,36.90906,-121.77564,19.8
304094,Vierra Meadows PL,36.798122,-121.65601,4.7
55699,Viewpoint,36.98682,-121.91102,7.7
64461,Villa del Monte (West),37.123894,-121.958466,2.6
198223,Walnut + King,36.973297,-122.03977,6.1
98209,Weather_Rock,36.779118,-121.72451,4.7
81075,Wente Greenfield Office,36.279583,-121.30499,3.2
70323,West Cliff,36.960854,-122.02581,7.4
195607,Westdale NW,37.06168,-122.145004,4.2
65695,Western Court,36.96797,-122.05804,5.8
104680,Westside Lighthouse,36.954346,-122.032135,8.2
284868,White Oak Way,36.50027,-121.75055,2.5
60191,Woodcrest Outdoor,36.59356,-121.901726,5.2
60549,alta,36.954903,-122.0388,0.0
84581,car wash,36.98461,-121.98995,6.5
19463,downtown on River Street,36.97847,-122.02638,1.2
60843,eyeCatchLight Photography,36.969906,-122.048134,6.3
69071,harmless science experiment,37.122826,-121.990005,0.0
243529,huckleberry,37.130642,-122.11917,2.9
264593,oLoco,36.22511,-121.7638,3.3
163079,ucm-2a64,36.50837,-121.44398,3.9
163039,ucm-431d,36.604824,-121.9192,10.0
163085,ucm-653B,36.72671,-121.65586,6.0
163049,ucm-65cc,36.577785,-121.7175,3.8
163037,ucm-7e1f,36.21948,-121.13123,11.8
163069,ucm-8b62,36.71268,-121.61996,5.9
163201,ucm-8ba3,36.650852,-121.79771,4.5
163071,ucm-9742,36.42808,-121.33121,4.4
163149,ucm-C045,36.67938,-121.62715,7.4
163041,ucm-f94b,36.67722,-121.62704,3.5
