time_stamp,humidity,pm2.5_atm,pm2.5_cf_1,sensor_index
2025-01-21 04:00:00+00:00,37.0,16.3,16.3,237281
2025-01-21 10:00:00+00:00,42.0,12.4,12.4,237281
2025-01-21 02:00:00+00:00,38.0,31.2,33.1,237281
2025-01-21 22:00:00+00:00,32.0,11.0,11.0,237281
2025-01-21 23:00:00+00:00,33.0,8.9,8.9,237281
2025-01-24 21:00:00+00:00,35.0,16.7,16.7,237281
2025-01-24 11:00:00+00:00,42.0,11.7,11.7,237281
2025-01-24 15:00:00+00:00,38.0,9.7,9.7,237281
2025-01-24 06:00:00+00:00,39.0,12.5,12.5,237281
2025-01-24 04:00:00+00:00,40.0,20.5,20.6,237281
2025-01-24 13:00:00+00:00,39.0,10.7,10.7,237281
2025-01-14 17:00:00+00:00,42.0,5.4,5.4,237281
2025-01-14 08:00:00+00:00,39.0,9.3,9.3,237281
2025-01-14 20:00:00+00:00,34.0,5.0,5.0,237281
2025-01-14 16:00:00+00:00,42.0,9.9,9.9,237281
2025-01-14 19:00:00+00:00,31.0,4.0,4.0,237281
2025-01-14 09:00:00+00:00,39.0,9.4,9.4,237281
2025-01-14 07:00:00+00:00,39.0,17.9,17.9,237281
2025-01-14 02:00:00+00:00,34.0,26.0,26.4,237281
2025-01-14 03:00:00+00:00,35.0,18.9,18.9,237281
2025-01-14 11:00:00+00:00,39.0,5.6,5.6,237281
2025-01-15 00:00:00+00:00,41.0,3.4,3.4,237281
2025-01-15 10:00:00+00:00,45.0,7.0,7.0,237281
2025-01-15 16:00:00+00:00,44.0,10.5,10.5,237281
2025-01-15 23:00:00+00:00,34.0,7.1,7.1,237281
2025-01-15 14:00:00+00:00,43.0,5.1,5.1,237281
2025-01-15 06:00:00+00:00,48.0,29.8,33.1,237281
2025-01-15 05:00:00+00:00,48.0,21.7,22.0,237281
2025-01-15 22:00:00+00:00,29.0,5.6,5.6,237281
2025-01-22 05:00:00+00:00,37.0,13.8,13.8,237281
2025-01-22 04:00:00+00:00,37.0,21.0,21.0,237281
2025-01-22 17:00:00+00:00,36.0,5.8,5.8,237281
2025-01-22 12:00:00+00:00,39.0,5.1,5.1,237281
2025-01-22 11:00:00+00:00,33.0,5.9,5.9,237281
2025-01-22 08:00:00+00:00,39.0,9.8,9.8,237281
2025-01-22 09:00:00+00:00,36.0,9.3,9.3,237281
2025-01-17 03:00:00+00:00,43.0,15.9,15.9,237281
2025-01-17 13:00:00+00:00,50.0,25.9,26.1,237281
2025-01-17 06:00:00+00:00,45.0,17.6,17.6,237281
2025-01-17 09:00:00+00:00,50.0,29.5,30.4,237281
2025-01-17 15:00:00+00:00,48.0,24.6,24.7,237281
2025-01-17 01:00:00+00:00,46.0,11.1,11.2,237281
2025-01-17 16:00:00+00:00,49.0,27.5,27.9,237281
2025-01-17 12:00:00+00:00,49.0,29.3,29.9,237281
2025-01-17 08:00:00+00:00,49.0,30.0,30.9,237281
2025-01-20 04:00:00+00:00,46.0,14.6,14.6,237281
2025-01-20 22:00:00+00:00,36.0,12.6,12.6,237281
2025-01-20 21:00:00+00:00,34.0,13.6,13.6,237281
2025-01-20 16:00:00+00:00,49.0,18.9,18.9,237281
2025-01-18 20:00:00+00:00,40.0,20.3,20.4,237281
2025-01-18 07:00:00+00:00,44.0,16.8,16.8,237281
2025-01-18 21:00:00+00:00,43.0,29.3,30.6,237281
2025-01-18 03:00:00+00:00,43.0,21.8,21.8,237281
2025-01-18 09:00:00+00:00,44.0,17.1,17.1,237281
2025-01-18 14:00:00+00:00,45.0,25.0,25.3,237281
2025-01-16 13:00:00+00:00,41.0,7.2,7.2,237281
2025-01-16 22:00:00+00:00,32.0,5.0,5.0,237281
2025-01-16 05:00:00+00:00,46.0,22.8,22.9,237281
2025-01-16 08:00:00+00:00,44.0,8.2,8.2,237281
2025-01-19 02:00:00+00:00,45.0,36.2,41.1,237281
2025-01-19 20:00:00+00:00,47.0,33.2,35.9,237281
2025-01-19 05:00:00+00:00,47.0,33.8,36.9,237281
2025-01-19 12:00:00+00:00,48.0,25.5,25.8,237281
2025-01-19 21:00:00+00:00,45.0,29.4,30.6,237281
2025-01-19 23:00:00+00:00,44.0,16.4,16.4,237281
2025-01-19 07:00:00+00:00,48.0,31.4,33.0,237281
2025-01-19 16:00:00+00:00,47.0,27.7,28.6,237281
2025-01-19 19:00:00+00:00,47.0,29.8,30.5,237281
2025-01-23 00:00:00+00:00,37.0,6.9,6.9,237281
2025-01-23 01:00:00+00:00,41.0,11.3,11.3,237281
2025-01-23 19:00:00+00:00,27.0,7.6,7.6,237281
2025-01-23 15:00:00+00:00,38.0,9.3,9.4,237281
2025-01-23 02:00:00+00:00,41.0,14.4,14.4,237281
2025-01-21 09:00:00+00:00,43.0,13.7,13.7,237281
2025-01-21 19:00:00+00:00,31.0,14.8,14.8,237281
2025-01-21 14:00:00+00:00,42.0,10.7,10.7,237281
2025-01-21 11:00:00+00:00,42.0,10.7,10.7,237281
2025-01-21 21:00:00+00:00,32.0,11.7,11.7,237281
2025-01-21 13:00:00+00:00,41.0,9.1,9.1,237281
2025-01-24 14:00:00+00:00,40.0,9.3,9.3,237281
2025-01-24 10:00:00+00:00,41.0,11.7,11.8,237281
2025-01-24 00:00:00+00:00,30.0,5.8,5.8,237281
2025-01-24 23:00:00+00:00,45.0,18.1,18.1,237281
2025-01-24 05:00:00+00:00,40.0,25.1,26.1,237281
2025-01-24 08:00:00+00:00,33.0,12.9,13.0,237281
2025-01-14 01:00:00+00:00,33.0,13.0,13.0,237281
2025-01-14 23:00:00+00:00,36.0,2.3,2.3,237281
2025-01-15 20:00:00+00:00,37.0,6.2,6.3,237281
2025-01-15 09:00:00+00:00,44.0,8.0,8.0,237281
2025-01-15 04:00:00+00:00,48.0,21.4,21.9,237281
2025-01-15 12:00:00+00:00,44.0,4.7,4.7,237281
2025-01-15 07:00:00+00:00,47.0,12.0,12.0,237281
2025-01-15 02:00:00+00:00,44.0,22.3,23.1,237281
2025-01-22 19:00:00+00:00,25.0,4.9,4.9,237281
2025-01-22 02:00:00+00:00,36.0,14.0,14.0,237281
2025-01-22 20:00:00+00:00,29.0,5.2,5.2,237281
2025-01-22 15:00:00+00:00,41.0,5.5,5.5,237281
2025-01-22 01:00:00+00:00,33.0,5.4,5.4,237281
2025-01-17 18:00:00+00:00,44.0,28.3,29.1,237281
2025-01-17 07:00:00+00:00,49.0,29.7,31.0,237281
2025-01-17 05:00:00+00:00,40.0,23.9,24.9,237281
2025-01-20 08:00:00+00:00,47.0,31.4,32.7,237281
2025-01-20 06:00:00+00:00,46.0,24.7,25.0,237281
2025-01-20 00:00:00+00:00,44.0,12.8,12.9,237281
2025-01-20 02:00:00+00:00,45.0,16.4,16.4,237281
2025-01-20 23:00:00+00:00,35.0,12.7,12.7,237281
2025-01-18 19:00:00+00:00,39.0,17.9,17.9,237281
2025-01-18 12:00:00+00:00,45.0,35.6,39.7,237281
2025-01-18 01:00:00+00:00,43.0,21.1,21.1,237281
2025-01-18 17:00:00+00:00,47.0,19.3,19.3,237281
2025-01-18 11:00:00+00:00,45.0,34.8,38.6,237281
2025-01-16 21:00:00+00:00,31.0,5.2,5.2,237281
2025-01-16 12:00:00+00:00,41.0,4.4,4.4,237281
2025-01-16 18:00:00+00:00,34.0,4.6,4.6,237281
2025-01-19 08:00:00+00:00,48.0,25.5,25.6,237281
2025-01-19 15:00:00+00:00,46.0,22.6,22.7,237281
2025-01-19 11:00:00+00:00,49.0,29.3,30.0,237281
2025-01-19 01:00:00+00:00,45.0,18.6,18.7,237281
2025-01-19 13:00:00+00:00,48.0,28.0,28.6,237281
2025-01-19 10:00:00+00:00,50.0,30.8,32.0,237281
2025-01-23 22:00:00+00:00,23.0,4.2,4.2,237281
2025-01-23 14:00:00+00:00,38.0,9.2,9.2,237281
2025-01-23 16:00:00+00:00,39.0,8.9,8.9,237281
2025-01-23 20:00:00+00:00,27.0,7.1,7.1,237281
2025-01-21 20:00:00+00:00,32.0,12.8,12.8,237281
2025-01-21 12:00:00+00:00,41.0,9.5,9.5,237281
2025-01-21 08:00:00+00:00,41.0,14.3,14.4,237281
2025-01-21 03:00:00+00:00,39.0,27.7,29.2,237281
2025-01-21 07:00:00+00:00,40.0,12.8,12.8,237281
2025-01-21 00:00:00+00:00,36.0,12.7,12.7,237281
2025-01-21 06:00:00+00:00,38.0,22.2,23.2,237281
2025-01-24 07:00:00+00:00,36.0,6.8,6.9,237281
2025-01-24 19:00:00+00:00,28.0,12.4,12.4,237281
2025-01-24 02:00:00+00:00,36.0,19.5,19.5,237281
2025-01-24 01:00:00+00:00,35.0,9.2,9.2,237281
2025-01-24 03:00:00+00:00,37.0,27.1,27.8,237281
2025-01-24 18:00:00+00:00,31.0,8.7,8.7,237281
2025-01-14 18:00:00+00:00,35.0,4.6,4.6,237281
2025-01-14 05:00:00+00:00,37.0,24.2,24.4,237281
2025-01-14 15:00:00+00:00,39.0,7.0,7.0,237281
2025-01-14 04:00:00+00:00,37.0,36.1,41.8,237281
2025-01-15 19:00:00+00:00,29.0,3.3,3.3,237281
2025-01-15 03:00:00+00:00,45.0,21.4,21.4,237281
2025-01-15 11:00:00+00:00,45.0,6.7,6.8,237281
2025-01-15 17:00:00+00:00,42.0,12.4,12.4,237281
2025-01-15 01:00:00+00:00,45.0,5.4,5.4,237281
2025-01-15 13:00:00+00:00,42.0,4.6,4.6,237281
2025-01-22 00:00:00+00:00,32.0,4.9,4.9,237281
2025-01-22 23:00:00+00:00,32.0,4.8,4.8,237281
2025-01-22 07:00:00+00:00,41.0,13.6,13.6,237281
2025-01-22 22:00:00+00:00,33.0,5.4,5.4,237281
2025-01-22 16:00:00+00:00,40.0,6.6,6.7,237281
2025-01-22 10:00:00+00:00,35.0,8.4,8.4,237281
2025-01-22 03:00:00+00:00,37.0,18.0,18.0,237281
2025-01-17 17:00:00+00:00,48.0,28.9,29.8,237281
2025-01-17 11:00:00+00:00,51.0,29.0,29.5,237281
2025-01-17 00:00:00+00:00,40.0,5.6,5.6,237281
2025-01-17 22:00:00+00:00,42.0,9.5,9.5,237281
2025-01-17 10:00:00+00:00,50.0,28.6,29.1,237281
2025-01-17 14:00:00+00:00,45.0,22.1,22.1,237281
2025-01-17 20:00:00+00:00,41.0,10.9,10.9,237281
2025-01-17 19:00:00+00:00,41.0,18.6,18.6,237281
2025-01-20 12:00:00+00:00,48.0,28.6,29.7,237281
2025-01-20 07:00:00+00:00,47.0,28.4,28.9,237281
2025-01-20 10:00:00+00:00,46.0,40.3,47.4,237281
2025-01-20 18:00:00+00:00,36.0,17.2,17.2,237281
2025-01-20 14:00:00+00:00,48.0,23.3,23.4,237281
2025-01-20 01:00:00+00:00,44.0,15.5,15.6,237281
2025-01-20 20:00:00+00:00,34.0,15.1,15.1,237281
2025-01-20 09:00:00+00:00,47.0,39.4,46.4,237281
2025-01-20 13:00:00+00:00,48.0,23.5,23.5,237281
2025-01-20 11:00:00+00:00,49.0,36.2,40.3,237281
2025-01-20 05:00:00+00:00,46.0,23.1,23.3,237281
2025-01-18 08:00:00+00:00,44.0,16.6,16.6,237281
2025-01-18 22:00:00+00:00,43.0,26.3,26.5,237281
2025-01-18 05:00:00+00:00,43.0,15.1,15.1,237281
2025-01-18 10:00:00+00:00,43.0,29.7,30.6,237281
2025-01-18 02:00:00+00:00,43.0,24.2,24.3,237281
2025-01-22 15:00:00+00:00,80.0,5.5,5.5,62207
2025-01-22 10:00:00+00:00,64.0,7.2,7.2,62207
2025-01-22 02:00:00+00:00,68.0,13.6,13.6,62207
2025-01-22 19:00:00+00:00,22.0,2.6,2.6,62207
2025-01-22 09:00:00+00:00,61.0,7.1,7.1,62207
2025-01-22 04:00:00+00:00,52.0,10.0,10.0,62207
2025-01-22 14:00:00+00:00,76.0,4.2,4.2,62207
2025-01-22 01:00:00+00:00,89.0,9.6,9.6,62207
2025-01-16 15:00:00+00:00,64.0,1.8,1.8,62207
2025-01-16 13:00:00+00:00,64.0,1.3,1.3,62207
2025-01-16 23:00:00+00:00,40.0,5.5,5.5,62207
2025-01-16 21:00:00+00:00,29.0,2.9,2.9,62207
2025-01-16 05:00:00+00:00,63.0,7.2,7.2,62207
2025-01-16 14:00:00+00:00,64.0,1.3,1.3,62207
