sensor_index,name,latitude,longitude,pm2.5_atm,dist
77359,So Salinas 776,36.669666,-121.67687,4.6,0.17484248813147021
77451,Big Foot Hill,37.038143,-122.07705,1.2,0.3715001380201556
77841,MVRR,36.97136,-121.86338,1.0,0.18306460061955898
78433,Pippin,37.04834,-121.96994,1.8,0.3041378194174417
78919,19yoZemite,36.617065,-121.828094,0.3,0.19151492020466862
80087,329 Alta Vista Outside,36.968136,-122.04961,0.7,0.3083705462523897
80409,Live Oak Santa Cruz,36.97257,-121.990425,0.0,0.2629366169345701
80813,Hickman Ct.,36.959995,-121.97731,0.2,0.24481540826712267
81047,Dover and Howe Outdoor,36.99021,-121.972244,2.6,0.2614588901452722
82067,Los Altos Drive,36.966465,-121.88861,3.3,0.19059685287275366
82447,Via Ventana,36.90906,-121.77564,2.2,0.10542291591489653
82459,Summit Rd.,37.035297,-121.74771,0.5,0.2344375667613878
84061,Outlook Drive - Carmel,36.56402,-121.900856,4.9,0.2654268214329524
84123,Upper Pine Hills Drive,36.561016,-121.89387,3.9,0.2652937925319767
84249,Huntington Ct,36.981586,-121.870636,1.0,0.19538192212177488
84331,Light Springs Road,37.006554,-121.83728,0.0,0.20800307717916122
84581,car wash,36.98461,-121.98995,1.3,0.2704410593826231
85101,Trescony Backyard,36.968403,-122.040886,1.7,0.30115888066765883
91021,Dawn Way,36.979942,-121.57202,0.3,0.27855346374440426
92225,Aptos Hills,36.94754,-121.83052,1.2,0.14923668449814445
93521,Marc's weather station,36.596676,-121.909584,3.2,0.2405391212089975
96241,East Garrison,36.65262,-121.73911,3.1,0.15955194922031404
98209,Weather_Rock,36.779118,-121.72451,2.1,0.06861737115338717
98627,Foggy Jim,36.966537,-122.03938,6.1,0.2988805332720654
99657,Oxford Way,36.954292,-122.038315,0.0,0.2915049088591745
104680,Westside Lighthouse,36.954346,-122.032135,3.8,0.28625043256036337
109416,Carbonera,36.997307,-122.0149,0.6,0.2975914492202271
109856,Moongoat,37.0232,-121.9364,0.4,0.26421023825734036
116111,Lupine Lane,36.995827,-121.98386,3327.7,0.2736567374083802
118457,Burchell Valley,37.02953,-121.640884,0.0,0.2691003417983746
118477,Hawk Ridge Lane,36.994827,-121.757904,0.0,0.1928376497082468
