sensor_index,name,latitude,longitude,episode_number,onset_time_utc,peak_time_utc,end_time_utc,duration_hours,hours_flagged,peak_pm25_atm,mean_pm25_atm,event_integrated_excess,baseline_median,robust_mad,event_threshold,baseline_source,event_rank,is_primary_event,hours_after_fire_start
7846,Hillside Ave,36.603,-121.9294,4,2025-01-18 21:00:00+00:00,2025-01-18 21:00:00+00:00,2025-01-18 22:00:00+00:00,2.0,2,22.0,21.7,37.6,2.9,2.3721599999999996,20.0,pre_fire_window,4,False,43.416666666666664
7846,Hillside Ave,36.603,-121.9294,5,2025-01-19 03:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 06:00:00+00:00,4.0,4,27.5,25.725,91.30000000000001,2.9,2.3721599999999996,20.0,pre_fire_window,5,False,50.416666666666664
7846,Hillside Ave,36.603,-121.9294,6,2025-01-19 10:00:00+00:00,2025-01-19 20:00:00+00:00,2025-01-19 21:00:00+00:00,12.0,11,28.0,23.38181818181818,225.3,2.9,2.3721599999999996,20.0,pre_fire_window,6,False,66.41666666666667
7846,Hillside Ave,36.603,-121.9294,7,2025-01-20 07:00:00+00:00,2025-01-20 09:00:00+00:00,2025-01-20 12:00:00+00:00,6.0,6,36.1,29.21666666666667,157.89999999999998,2.9,2.3721599999999996,20.0,pre_fire_window,7,False,79.41666666666667
9162,CCA Semilon and Viognier,36.98806,-121.58136,1,2025-01-17 17:00:00+00:00,2025-01-17 18:00:00+00:00,2025-01-17 19:00:00+00:00,3.0,3,26.0,23.53333333333333,59.35,3.75,2.7428099999999995,20.0,pre_fire_window,1,True,16.416666666666668
9162,CCA Semilon and Viognier,36.98806,-121.58136,2,2025-01-18 06:00:00+00:00,2025-01-18 09:00:00+00:00,2025-01-18 20:00:00+00:00,15.0,15,27.8,23.9,302.25,3.75,2.7428099999999995,20.0,pre_fire_window,2,False,31.416666666666668
9162,CCA Semilon and Viognier,36.98806,-121.58136,3,2025-01-19 11:00:00+00:00,2025-01-19 12:00:00+00:00,2025-01-19 12:00:00+00:00,2.0,2,21.1,20.700000000000003,33.900000000000006,3.75,2.7428099999999995,20.0,pre_fire_window,3,False,58.416666666666664
9162,CCA Semilon and Viognier,36.98806,-121.58136,4,2025-01-19 20:00:00+00:00,2025-01-20 01:00:00+00:00,2025-01-20 18:00:00+00:00,23.0,23,41.0,31.991304347826084,649.55,3.75,2.7428099999999995,20.0,pre_fire_window,4,False,71.41666666666667
9162,CCA Semilon and Viognier,36.98806,-121.58136,5,2025-01-24 23:00:00+00:00,2025-01-24 23:00:00+00:00,2025-01-24 23:00:00+00:00,1.0,1,21.2,21.2,17.45,3.75,2.7428099999999995,20.0,pre_fire_window,5,False,189.41666666666666
14693,"Gilroy, California, Cedar Court",37.00943,-121.59573,1,2025-01-19 22:00:00+00:00,2025-01-20 02:00:00+00:00,2025-01-20 02:00:00+00:00,5.0,5,22.3,21.220000000000002,101.10000000000001,1.0,2.0,20.0,pre_fire_window,1,True,72.41666666666667
18561,Del Rey Oaks,36.591408,-121.83396,1,2025-01-18 11:00:00+00:00,2025-01-18 12:00:00+00:00,2025-01-18 13:00:00+00:00,3.0,3,30.5,26.333333333333332,70.6,2.8,2.07564,20.0,pre_fire_window,1,True,34.416666666666664
18561,Del Rey Oaks,36.591408,-121.83396,2,2025-01-18 22:00:00+00:00,2025-01-18 22:00:00+00:00,2025-01-18 23:00:00+00:00,2.0,2,28.1,25.8,46.0,2.8,2.07564,20.0,pre_fire_window,2,False,44.416666666666664
18561,Del Rey Oaks,36.591408,-121.83396,3,2025-01-19 03:00:00+00:00,2025-01-19 03:00:00+00:00,2025-01-19 04:00:00+00:00,2.0,2,22.4,22.2,38.8,2.8,2.07564,20.0,pre_fire_window,3,False,49.416666666666664
18561,Del Rey Oaks,36.591408,-121.83396,4,2025-01-19 17:00:00+00:00,2025-01-19 21:00:00+00:00,2025-01-19 22:00:00+00:00,6.0,6,32.7,27.75,149.7,2.8,2.07564,20.0,pre_fire_window,4,False,67.41666666666667
18561,Del Rey Oaks,36.591408,-121.83396,5,2025-01-20 05:00:00+00:00,2025-01-20 06:00:00+00:00,2025-01-20 06:00:00+00:00,2.0,2,22.6,21.700000000000003,37.8,2.8,2.07564,20.0,pre_fire_window,5,False,76.41666666666667
18561,Del Rey Oaks,36.591408,-121.83396,6,2025-01-20 09:00:00+00:00,2025-01-20 11:00:00+00:00,2025-01-20 13:00:00+00:00,5.0,5,27.7,23.439999999999998,103.2,2.8,2.07564,20.0,pre_fire_window,6,False,81.41666666666667
19211,SempleAve ,36.967335,-121.88514,1,2025-01-17 04:00:00+00:00,2025-01-17 06:00:00+00:00,2025-01-17 06:00:00+00:00,3.0,2,25.0,23.0,34.1,5.95,4.5960600000000005,20.0,pre_fire_window,1,True,4.416666666666667
19211,SempleAve ,36.967335,-121.88514,2,2025-01-17 15:00:00+00:00,2025-01-17 17:00:00+00:00,2025-01-17 18:00:00+00:00,4.0,4,27.9,22.949999999999996,68.0,5.95,4.5960600000000005,20.0,pre_fire_window,2,False,15.416666666666666
19211,SempleAve ,36.967335,-121.88514,3,2025-01-17 23:00:00+00:00,2025-01-17 23:00:00+00:00,2025-01-17 23:00:00+00:00,1.0,1,21.1,21.1,15.150000000000002,5.95,4.5960600000000005,20.0,pre_fire_window,3,False,21.416666666666668
19211,SempleAve ,36.967335,-121.88514,4,2025-01-18 02:00:00+00:00,2025-01-18 04:00:00+00:00,2025-01-18 17:00:00+00:00,16.0,15,30.5,25.39333333333333,291.65000000000003,5.95,4.5960600000000005,20.0,pre_fire_window,4,False,26.416666666666668
19211,SempleAve ,36.967335,-121.88514,5,2025-01-19 02:00:00+00:00,2025-01-19 02:00:00+00:00,2025-01-19 13:00:00+00:00,12.0,12,36.8,25.441666666666666,233.9,5.95,4.5960600000000005,20.0,pre_fire_window,5,False,48.416666666666664
19211,SempleAve ,36.967335,-121.88514,6,2025-01-19 17:00:00+00:00,2025-01-19 18:00:00+00:00,2025-01-19 20:00:00+00:00,4.0,4,25.6,23.950000000000003,72.00000000000001,5.95,4.5960600000000005,20.0,pre_fire_window,6,False,64.41666666666667
19211,SempleAve ,36.967335,-121.88514,7,2025-01-20 02:00:00+00:00,2025-01-20 06:00:00+00:00,2025-01-20 18:00:00+00:00,17.0,16,36.7,24.425,295.6,5.95,4.5960600000000005,20.0,pre_fire_window,7,False,76.41666666666667
19211,SempleAve ,36.967335,-121.88514,8,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,2025-01-21 03:00:00+00:00,2.0,2,32.4,27.299999999999997,42.7,5.95,4.5960600000000005,20.0,pre_fire_window,8,False,96.41666666666667
19211,SempleAve ,36.967335,-121.88514,9,2025-01-24 11:00:00+00:00,2025-01-24 11:00:00+00:00,2025-01-24 11:00:00+00:00,1.0,1,20.8,20.8,14.850000000000001,5.95,4.5960600000000005,20.0,pre_fire_window,9,False,177.41666666666666
19457,Soquel Elementary,36.985897,-121.95652,1,2025-01-19 04:00:00+00:00,2025-01-19 04:00:00+00:00,2025-01-19 04:00:00+00:00,1.0,1,20.7,20.7,18.049999999999997,2.6500000000000004,2.0,20.0,pre_fire_window,1,True,50.416666666666664
19457,Soquel Elementary,36.985897,-121.95652,2,2025-01-20 03:00:00+00:00,2025-01-20 03:00:00+00:00,2025-01-20 03:00:00+00:00,1.0,1,22.4,22.4,19.75,2.6500000000000004,2.0,20.0,pre_fire_window,2,False,73.41666666666667
19585,City of Gilroy,37.00723,-121.55959,1,2025-01-17 09:00:00+00:00,2025-01-17 11:00:00+00:00,2025-01-17 12:00:00+00:00,4.0,3,30.6,28.899999999999995,54.60000000000001,10.7,4.8184499999999995,25.15535,pre_fire_window,1,True,9.416666666666666
19585,City of Gilroy,37.00723,-121.55959,2,2025-01-17 15:00:00+00:00,2025-01-17 15:00:00+00:00,2025-01-17 19:00:00+00:00,5.0,5,28.4,26.82,80.60000000000001,10.7,4.8184499999999995,25.15535,pre_fire_window,2,False,13.416666666666666
19585,City of Gilroy,37.00723,-121.55959,3,2025-01-18 03:00:00+00:00,2025-01-18 08:00:00+00:00,2025-01-18 12:00:00+00:00,10.0,10,44.2,36.309999999999995,256.09999999999997,10.7,4.8184499999999995,25.15535,pre_fire_window,3,False,30.416666666666668
19585,City of Gilroy,37.00723,-121.55959,4,2025-01-18 15:00:00+00:00,2025-01-18 16:00:00+00:00,2025-01-18 19:00:00+00:00,5.0,5,30.3,27.98,86.4,10.7,4.8184499999999995,25.15535,pre_fire_window,4,False,38.416666666666664
19585,City of Gilroy,37.00723,-121.55959,5,2025-01-19 02:00:00+00:00,2025-01-19 05:00:00+00:00,2025-01-20 17:00:00+00:00,40.0,39,61.1,35.56153846153846,969.5999999999999,10.7,4.8184499999999995,25.15535,pre_fire_window,5,False,51.416666666666664
19585,City of Gilroy,37.00723,-121.55959,6,2025-01-24 06:00:00+00:00,2025-01-24 06:00:00+00:00,2025-01-24 06:00:00+00:00,1.0,1,28.6,28.6,17.900000000000002,10.7,4.8184499999999995,25.15535,pre_fire_window,6,False,172.41666666666666
19585,City of Gilroy,37.00723,-121.55959,7,2025-01-24 13:00:00+00:00,2025-01-24 15:00:00+00:00,2025-01-24 16:00:00+00:00,4.0,4,29.8,27.65,67.80000000000001,10.7,4.8184499999999995,25.15535,pre_fire_window,7,False,181.41666666666666
19733,Grooming bays,36.924152,-121.81189,1,2025-01-17 17:00:00+00:00,2025-01-17 18:00:00+00:00,2025-01-17 18:00:00+00:00,2.0,2,21.9,21.5,33.9,4.55,2.1497699999999997,20.0,pre_fire_window,1,True,16.416666666666668
19733,Grooming bays,36.924152,-121.81189,2,2025-01-18 03:00:00+00:00,2025-01-18 10:00:00+00:00,2025-01-18 20:00:00+00:00,18.0,18,32.3,25.405555555555555,375.4,4.55,2.1497699999999997,20.0,pre_fire_window,2,False,32.416666666666664
19733,Grooming bays,36.924152,-121.81189,3,2025-01-19 04:00:00+00:00,2025-01-19 05:00:00+00:00,2025-01-19 11:00:00+00:00,8.0,8,29.0,24.1375,156.7,4.55,2.1497699999999997,20.0,pre_fire_window,3,False,51.416666666666664
19733,Grooming bays,36.924152,-121.81189,4,2025-01-19 16:00:00+00:00,2025-01-19 18:00:00+00:00,2025-01-19 19:00:00+00:00,4.0,4,28.5,27.25,90.8,4.55,2.1497699999999997,20.0,pre_fire_window,4,False,64.41666666666667
19733,Grooming bays,36.924152,-121.81189,5,2025-01-20 04:00:00+00:00,2025-01-20 06:00:00+00:00,2025-01-20 17:00:00+00:00,14.0,14,34.9,26.77857142857143,311.2,4.55,2.1497699999999997,20.0,pre_fire_window,5,False,76.41666666666667
