time_stamp,humidity,pm2.5_atm,pm2.5_cf_1,sensor_index
2025-01-24 21:00:00+00:00,27,6.0,6.0,4355
2025-01-24 13:00:00+00:00,41,9.4,9.4,4355
2025-01-24 02:00:00+00:00,29,11.5,11.5,4355
2025-01-24 22:00:00+00:00,32,7.1,7.1,4355
2025-01-21 17:00:00+00:00,35,4.6,4.6,4355
2025-01-21 10:00:00+00:00,37,6.6,6.6,4355
2025-01-21 06:00:00+00:00,37,8.4,8.4,4355
2025-01-21 12:00:00+00:00,36,3.4,3.4,4355
2025-01-21 15:00:00+00:00,38,3.7,3.7,4355
2025-01-23 07:00:00+00:00,40,10.7,10.7,4355
2025-01-23 18:00:00+00:00,33,5.9,5.9,4355
2025-01-23 12:00:00+00:00,41,11.6,11.6,4355
2025-01-23 01:00:00+00:00,28,11.0,11.0,4355
2025-01-23 06:00:00+00:00,38,12.9,12.9,4355
2025-01-17 02:00:00+00:00,33,6.6,6.6,4355
2025-01-17 05:00:00+00:00,45,10.5,10.5,4355
2025-01-17 09:00:00+00:00,44,12.5,12.5,4355
2025-01-17 15:00:00+00:00,43,10.4,10.4,4355
2025-01-17 12:00:00+00:00,45,12.0,12.0,4355
2025-01-17 21:00:00+00:00,46,14.3,14.3,4355
2025-01-22 23:00:00+00:00,20,3.2,3.2,4355
2025-01-22 16:00:00+00:00,40,7.0,7.0,4355
2025-01-22 06:00:00+00:00,37,10.1,10.1,4355
2025-01-22 14:00:00+00:00,39,6.9,6.9,4355
2025-01-22 04:00:00+00:00,38,10.0,10.0,4355
2025-01-22 00:00:00+00:00,36,4.7,4.7,4355
2025-01-22 01:00:00+00:00,38,5.2,5.2,4355
2025-01-18 18:00:00+00:00,48,10.1,10.1,4355
2025-01-18 02:00:00+00:00,50,21.9,21.9,4355
2025-01-18 09:00:00+00:00,50,17.1,17.1,4355
2025-01-18 08:00:00+00:00,50,18.0,18.0,4355
2025-01-18 12:00:00+00:00,49,13.6,13.6,4355
2025-01-18 05:00:00+00:00,52,21.5,21.5,4355
2025-01-18 03:00:00+00:00,52,20.4,20.4,4355
2025-01-16 09:00:00+00:00,40,7.6,7.6,4355
2025-01-16 14:00:00+00:00,39,4.8,4.8,4355
2025-01-16 17:00:00+00:00,36,3.8,3.8,4355
2025-01-16 11:00:00+00:00,40,8.1,8.1,4355
2025-01-16 04:00:00+00:00,38,6.2,6.2,4355
2025-01-16 21:00:00+00:00,24,2.7,2.7,4355
2025-01-14 08:00:00+00:00,36,6.8,6.8,4355
2025-01-14 05:00:00+00:00,35,6.8,6.8,4355
2025-01-14 10:00:00+00:00,39,7.7,7.7,4355
2025-01-14 06:00:00+00:00,36,7.5,7.5,4355
2025-01-14 09:00:00+00:00,38,8.4,8.4,4355
2025-01-14 18:00:00+00:00,40,4.0,4.0,4355
2025-01-14 03:00:00+00:00,30,3.9,3.9,4355
2025-01-15 23:00:00+00:00,26,3.8,3.8,4355
2025-01-15 11:00:00+00:00,42,10.3,10.3,4355
2025-01-15 22:00:00+00:00,23,4.2,4.2,4355
2025-01-15 18:00:00+00:00,38,6.0,6.0,4355
2025-01-15 12:00:00+00:00,44,9.6,9.6,4355
2025-01-19 00:00:00+00:00,41,14.1,14.1,4355
2025-01-19 13:00:00+00:00,53,16.9,16.9,4355
2025-01-19 18:00:00+00:00,50,15.0,15.0,4355
2025-01-19 11:00:00+00:00,53,17.8,17.8,4355
2025-01-19 03:00:00+00:00,48,15.4,15.4,4355
2025-01-19 01:00:00+00:00,44,22.5,22.8,4355
2025-01-19 09:00:00+00:00,53,21.6,21.6,4355
2025-01-19 23:00:00+00:00,42,9.0,9.0,4355
2025-01-19 12:00:00+00:00,54,20.0,20.0,4355
2025-01-19 06:00:00+00:00,52,18.2,18.2,4355
2025-01-20 14:00:00+00:00,52,7.5,7.5,4355
2025-01-20 05:00:00+00:00,53,15.2,15.2,4355
2025-01-20 01:00:00+00:00,45,10.8,10.8,4355
2025-01-20 06:00:00+00:00,53,14.1,14.1,4355
2025-01-20 16:00:00+00:00,53,14.3,14.3,4355
2025-01-20 10:00:00+00:00,52,14.3,14.3,4355
2025-01-20 19:00:00+00:00,45,17.0,17.0,4355
2025-01-24 19:00:00+00:00,34,5.6,5.6,4355
2025-01-24 08:00:00+00:00,36,9.8,9.8,4355
2025-01-24 10:00:00+00:00,39,11.7,11.7,4355
2025-01-24 00:00:00+00:00,18,4.5,4.5,4355
2025-01-24 01:00:00+00:00,22,6.1,6.1,4355
2025-01-24 18:00:00+00:00,34,6.5,6.5,4355
2025-01-24 23:00:00+00:00,39,9.6,9.6,4355
2025-01-21 03:00:00+00:00,38,15.7,15.7,4355
2025-01-21 19:00:00+00:00,28,2.4,2.4,4355
2025-01-21 14:00:00+00:00,36,2.5,2.5,4355
2025-01-21 21:00:00+00:00,26,4.2,4.2,4355
2025-01-21 23:00:00+00:00,30,3.4,3.4,4355
2025-01-21 22:00:00+00:00,27,3.7,3.7,4355
2025-01-23 19:00:00+00:00,27,5.6,5.6,4355
2025-01-23 05:00:00+00:00,37,13.4,13.4,4355
2025-01-23 21:00:00+00:00,20,4.1,4.1,4355
2025-01-23 14:00:00+00:00,41,11.0,11.0,4355
2025-01-23 13:00:00+00:00,42,12.4,12.4,4355
2025-01-17 13:00:00+00:00,44,9.9,9.9,4355
2025-01-17 10:00:00+00:00,44,12.0,12.0,4355
2025-01-17 20:00:00+00:00,48,17.3,17.3,4355
2025-01-17 23:00:00+00:00,45,16.7,16.7,4355
2025-01-17 07:00:00+00:00,44,11.1,11.1,4355
