window_index,window_start_utc,window_stop_utc,window_start_local,window_stop_local,sensor_index,name,latitude,longitude,baseline_pm25,baseline_ok,n_hours,pm25_mean,pm25_max,enhancement_mean,enhancement_pos_mean,enhancement_pos_max,humidity_mean,window_label_utc,window_label_local
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,20607,Spencer Ct,36.982265,-121.98709,4.9,True,3,7.633333333333333,11.1,2.733333333333333,2.8333333333333335,6.199999999999999,35.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,21887,Fish,36.967377,-122.043,8.05,True,3,7.666666666666667,9.5,-0.383333333333334,0.4833333333333331,1.4499999999999993,42.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,22427,BigSurMiddleRoad,36.254562,-121.81609,0.5,True,3,0.39999999999999997,0.6,-0.10000000000000005,0.0333333333333333,0.0999999999999999,22.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,29349,Front Porch Aromas,36.905457,-121.65945,3.9,True,3,3.8333333333333335,7.1,-0.06666666666666658,1.0666666666666667,3.2,20.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,33673,Fairhaven,36.5681,-121.96127,6.3,True,3,8.066666666666666,10.4,1.7666666666666668,2.566666666666667,4.1000000000000005,30.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,34125,PG-Lighthouse,36.617977,-121.90805,5.25,True,3,8.633333333333333,11.8,3.3833333333333333,3.3833333333333333,6.550000000000001,32.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,36239,Jackson Ave,37.081284,-122.09461,9.25,True,3,3.1,4.7,-6.1499999999999995,0.0,0.0,31.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,36559,SJGR Salinas,36.75225,-121.62232,2.5,True,3,6.366666666666667,7.9,3.866666666666667,3.866666666666667,5.4,34.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,36619,Empire/Pine Flat,37.0837,-122.13436,1.0,True,3,3.6,6.7,2.6,2.6,5.7,44.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,38661,Lower Favre,37.190155,-122.05823,0.5,True,3,0.5333333333333333,1.0,0.033333333333333326,0.16666666666666666,0.5,63.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
