sensor_index,count,min,median,max,mean,std,gt250_frac,gt500_frac,gt1000_frac,name,latitude,longitude,remove_reason
62207,264,1.0,6.05,20.3,7.040909090909091,4.359247057905323,0.0,0.0,0.0,15th Avenue,36.96255,-121.99147,
63111,264,0.1,6.8,18.3,6.883712121212121,3.879339817870318,0.0,0.0,0.0,Marley,37.001842,-122.01962,
63115,264,0.2,5.25,37.0,7.525757575757575,6.643709637762094,0.0,0.0,0.0,Camino Real,36.558426,-121.927345,
63213,264,0.8,4.0,16.2,5.520075757575757,3.991894638881038,0.0,0.0,0.0,Canon Del Sol - La Selva Beach,36.92184,-121.85166,
63507,264,0.1,5.05,79.9,6.771590909090909,8.033706778796056,0.0,0.0,0.0,Granite Creek Rd,37.036686,-121.99748,
63873,264,1.0,10.4,41.5,12.441287878787879,8.386785722845028,0.0,0.0,0.0,Capitola Mall/Live Oak,36.970737,-121.9691,
63933,264,0.9,10.45,46.9,12.852651515151514,9.294202400740437,0.0,0.0,0.0,Colton out,36.591637,-121.90228,
64315,264,0.0,3.3,42.2,8.497727272727273,10.669764437046727,0.0,0.0,0.0,Darwin's House,37.141586,-121.97135,
64447,264,1.2,7.85,38.7,10.718560606060606,7.812400947638001,0.0,0.0,0.0,Hawthorne and Drake,36.611008,-121.9008,
64711,264,0.1,5.5,41.4,9.18030303030303,7.874726762296411,0.0,0.0,0.0,Stance Ave,36.993504,-121.94746,
65421,264,0.3,27.5,73.1,29.305681818181817,18.986999902902625,0.0,0.0,0.0,Brackney,37.067093,-122.0805,
65657,264,1.4,9.9,87.9,12.940151515151515,9.628319761091383,0.0,0.0,0.0,Pleasure Point,36.958485,-121.97253,
65695,264,0.2,6.7,33.4,9.76098484848485,7.395026625932367,0.0,0.0,0.0,Western Court,36.96797,-122.05804,
65947,264,1.3,6.35,26.4,7.868560606060607,4.862485029067945,0.0,0.0,0.0,Sunny Cove,36.961082,-121.98862,
66169,264,0.0,3.8,41.9,8.64280303030303,10.349729763698555,0.0,0.0,0.0,End of Echo Drive,37.142715,-121.97199,
66185,264,0.6,9.2,36.8,12.57689393939394,9.550300903632571,0.0,0.0,0.0,SanMiguelCyn / TwinLakes Dr,36.87375,-121.689995,
66355,264,0.4,5.5,31.3,7.076515151515152,6.328616399205015,0.0,0.0,0.0,Carmel Valley Ranch,36.5185,-121.79684,
66419,51,7.8,12.8,35.4,13.762745098039215,5.250712743402128,0.0,0.0,0.0,Christensen Ranch Airport,36.871403,-121.337685,
67193,264,1.9,9.4,40.7,14.089015151515152,10.165063209493656,0.0,0.0,0.0,Crest Lane Outdoors,36.91816,-121.83805,
67323,264,0.1,4.55,25.1,7.784090909090909,7.248976112784434,0.0,0.0,0.0,LV outside,36.996357,-121.874214,
67349,264,0.0,3.9,37.7,7.258712121212121,8.206155521870768,0.0,0.0,0.0,Fontenay Villa,37.08076,-121.97402,
67379,264,1.6,11.1,32.8,12.753030303030304,7.536021879170521,0.0,0.0,0.0,Roof,36.973373,-121.90826,
67465,264,0.0,2.25,22.6,3.6609848484848486,4.117240088522603,0.0,0.0,0.0,Agrinemsors - outside,36.46259,-121.729294,
67477,264,1.4,13.1,41.3,14.719696969696969,7.902744764495838,0.0,0.0,0.0,MH outside,36.968086,-122.03695,
67817,264,0.3,5.8,36.8,8.29280303030303,7.355176218705011,0.0,0.0,0.0,CBS_SV,36.55621,-121.91748,
68057,264,0.0,0.9,18.1,1.9553030303030305,2.86942223073596,0.0,0.0,0.0,SCT Outside,36.43751,-121.79037,
68117,264,0.9,12.3,46.7,14.79469696969697,10.082762570273486,0.0,0.0,0.0,Lynwood Place (Outside),36.94366,-121.797195,
68515,144,0.0,2.1500000000000004,22.3,3.1333333333333333,3.410698921462745,0.0,0.0,0.0,Lower Beatty,37.204376,-122.077896,
68533,264,0.4,4.8,26.7,6.057954545454545,5.121424207608254,0.0,0.0,0.0,N.H. Hatton Road,36.54794,-121.9143,
69259,264,0.1,2.8,33.9,5.851515151515152,7.369374349559944,0.0,0.0,0.0,Summit West - Mountain Charlie,37.133663,-121.99027,
69267,185,0.3,3.2,33.2,6.1816216216216215,7.056148072207757,0.0,0.0,0.0,Calera Wine Company,36.738834,-121.37092,
69557,264,0.5,12.7,34.7,12.909848484848483,8.284250115547929,0.0,0.0,0.0,Ashley and Balir,37.053818,-122.076485,
69681,264,1.1,11.149999999999999,109.0,15.4625,13.958678665118907,0.0,0.0,0.0,Front Porch,36.876312,-121.62787,
69899,264,1.4,8.55,40.1,11.039015151515152,8.045471565706917,0.0,0.0,0.0,The Dunes Marina,36.66424,-121.80471,
70475,264,0.2,17.35,34.4,16.448863636363637,9.429074778325315,0.0,0.0,0.0,Aviator Ct,37.0524,-122.03299,
70729,264,0.2,24.85,1842.7,140.99772727272727,432.56171743053045,0.07575757575757576,0.07196969696969698,0.07196969696969698,Bluebonnet,37.050243,-122.02595,repeated_extreme_spikes
70871,264,0.0,0.2,2.6,0.28295454545454546,0.27084781307956457,0.0,0.0,0.0,Bear Creek Rec,37.141594,-122.08988,
71541,264,2.1,6.5,18.1,7.2727272727272725,3.3449488827183314,0.0,0.0,0.0,Felton Heights,37.042908,-122.089485,
71791,264,0.1,3.0,13.7,4.500757575757576,3.589072901295947,0.0,0.0,0.0,Schiller2,36.970497,-122.05811,
71793,264,0.4,13.05,43.1,15.088257575757577,9.752654625156422,0.0,0.0,0.0,Quail Hollow Bowl,37.08128,-122.07145,
72253,264,1.0,11.95,164.5,17.601136363636364,18.128438014993563,0.0,0.0,0.0,Buena Vista Outside,37.1509,-122.1251,
72333,264,0.3,5.75,25.7,8.03560606060606,6.1796505564728506,0.0,0.0,0.0,Spring Street Outside,36.982567,-122.04551,
72573,264,0.2,6.7,37.3,10.214772727272727,9.290539033743107,0.0,0.0,0.0,Sensor3,36.82974,-121.64596,
72597,264,0.1,0.4,8.0,0.781060606060606,1.106368194528507,0.0,0.0,0.0,San Bernabe,36.589924,-121.90349,
73195,264,0.9,23.549999999999997,80.2,23.74507575757576,11.502093312288038,0.0,0.0,0.0,Hihn/Azalea,37.074978,-122.07756,
73215,264,1312.8,1669.0,1679.2,1663.2541666666666,31.74096652524789,1.0,1.0,1.0,Pacific Elementary School,37.011806,-122.19473,stuck_high
73219,264,0.2,5.25,49.6,8.963636363636365,9.764144640821621,0.0,0.0,0.0,CV Village,36.481075,-121.733665,
73589,264,5.3,66.6,113.4,63.56439393939394,19.043027655624797,0.0,0.0,0.0,HolbrookHouse,37.05646,-122.02592,
